Date,Price,Open,High,Low,Vol.,Change %,Volume
5/8/2023,0.072415,0.076502,0.077086,0.070287,1.49B,-5.34%,1490000000
5/7/2023,0.076502,0.076741,0.077487,0.076277,615.95M,-0.31%,615950000
5/6/2023,0.076741,0.080203,0.080454,0.07591,1.14B,-4.31%,1140000000
5/5/2023,0.080201,0.07839,0.081456,0.077674,1.07B,2.31%,1070000000
5/4/2023,0.07839,0.079603,0.079702,0.077972,709.51M,-1.52%,709510000
5/3/2023,0.079598,0.078774,0.080652,0.077172,865.38M,1.05%,865380000
5/2/2023,0.078774,0.078823,0.07907,0.077674,589.72M,-0.06%,589720000
5/1/2023,0.078824,0.079462,0.080007,0.07739,933.49M,-0.80%,933490000
4/30/2023,0.079462,0.081576,0.081693,0.079283,720.75M,-2.59%,720750000
4/29/2023,0.081576,0.080332,0.081909,0.080205,723.16M,1.55%,723160000
4/28/2023,0.080334,0.080137,0.080601,0.079233,642.71M,0.25%,642710000
4/27/2023,0.080137,0.078592,0.080922,0.0784,1.34B,1.94%,1340000000
4/26/2023,0.078608,0.079745,0.083459,0.0753,2.38B,-1.43%,2380000000
4/25/2023,0.079745,0.078744,0.079944,0.077568,882.19M,1.26%,882190000
4/24/2023,0.07875,0.078778,0.080006,0.077237,1.05B,-0.04%,1050000000
4/23/2023,0.078778,0.08027,0.080729,0.076911,995.77M,-1.86%,995770000
4/22/2023,0.08027,0.078427,0.080936,0.078187,1.04B,2.35%,1040000000
4/21/2023,0.078427,0.083894,0.084663,0.077244,2.78B,-6.52%,2780000000
4/20/2023,0.083894,0.087892,0.093238,0.082759,5.81B,-4.55%,5810000000
4/19/2023,0.087892,0.093951,0.094129,0.085836,3.69B,-6.45%,3690000000
4/18/2023,0.093953,0.091394,0.094664,0.089817,2.23B,2.80%,2230000000
4/17/2023,0.091392,0.09047,0.094702,0.088289,3.73B,1.02%,3730000000
4/16/2023,0.090465,0.088894,0.091754,0.087765,1.53B,1.77%,1530000000
4/15/2023,0.08889,0.088684,0.090512,0.087233,1.13B,0.21%,1130000000
4/14/2023,0.088707,0.087344,0.091169,0.085505,2.90B,1.56%,2900000000
4/13/2023,0.087344,0.083406,0.08879,0.082866,2.35B,4.73%,2350000000
4/12/2023,0.083398,0.084133,0.084487,0.081099,2.19B,-0.87%,2190000000
4/11/2023,0.08413,0.084794,0.085791,0.083623,1.29B,-0.79%,1290000000
4/10/2023,0.084797,0.083194,0.085402,0.082332,1.24B,1.92%,1240000000
4/9/2023,0.083197,0.081359,0.083846,0.081194,1.14B,2.26%,1140000000
4/8/2023,0.081359,0.082232,0.083827,0.080629,1.49B,-1.07%,1490000000
4/7/2023,0.082243,0.085415,0.086143,0.081623,2.81B,-3.71%,2810000000
4/6/2023,0.08541,0.092717,0.092717,0.084748,4.19B,-7.88%,4190000000
4/5/2023,0.092715,0.095163,0.099134,0.091265,4.23B,-2.57%,4230000000
4/4/2023,0.095163,0.09604,0.103232,0.09233,8.93B,-0.91%,8930000000
4/3/2023,0.09604,0.079022,0.10406,0.076252,10.60B,21.53%,10600000000
4/2/2023,0.079023,0.081822,0.085483,0.077413,2.65B,-3.42%,2650000000
4/1/2023,0.081822,0.076982,0.083261,0.075934,2.28B,6.28%,2280000000
3/31/2023,0.076984,0.074226,0.077803,0.073524,1.05B,3.72%,1050000000
3/30/2023,0.074226,0.075613,0.076767,0.073506,1.09B,-1.84%,1090000000
3/29/2023,0.075617,0.073807,0.076822,0.073512,1.27B,2.52%,1270000000
3/28/2023,0.07376,0.072865,0.074025,0.071746,845.61M,1.23%,845610000
3/27/2023,0.072863,0.074375,0.07596,0.071345,1.43B,-2.03%,1430000000
3/26/2023,0.074377,0.07406,0.075391,0.073404,633.05M,0.43%,633050000
3/25/2023,0.074055,0.074573,0.075966,0.072577,828.97M,-0.69%,828970000
3/24/2023,0.074573,0.077387,0.077498,0.073103,1.15B,-3.64%,1150000000
